Transaction_ID,Customer_ID,Transaction_Type,Source_Country,Destination_Country,Source_City,Destination_City,Source_Currency,Destination_Currency,Exchange_Rate,Transaction_Amount,Converted_Amount,Fee_Charged,Tax_Applied,Total_Deduction,Sharia_Compliant,Contract_Type,Transaction_Date,Transaction_Time,Processing_Time_Seconds,Fraud_Flag,AML_Flag,Risk_Score,Channel,Device_Type
TXN000032,CUST2177,SWIFT,UAE,Pakistan,Abu Dhabi,Lahore,AED,PKR,75.0,1395.5,104662.5,35.54,19.66,55.2,Yes,Ijara,2025-11-08,00:45:47.073817,98.11,0,0,6,ATM,Desktop
TXN000033,CUST8000,Trade Finance,Qatar,USA,Doha,New York,QAR,USD,183.27,1124.47,206081.62,23.63,10.9,34.53,Yes,Murabaha,2025-09-12,00:08:06.294294,25.17,0,0,5,Branch,Desktop
TXN000034,CUST3482,SWIFT,UAE,Pakistan,Dubai,Karachi,AED,PKR,75.0,864.12,64809.0,25.08,14.5,39.58,Yes,Salam,2025-06-08,18:35:02.263080,22.6,0,0,4,Mobile App,ATM
TXN000035,CUST7114,Trade Finance,UAE,Pakistan,Abu Dhabi,Islamabad,AED,PKR,75.0,8603.89,645291.75,124.03,112.8,236.82999999999998,Yes,Murabaha,2025-02-22,05:12:48.869990,40.13,0,0,43,ATM,Mobile
TXN000036,CUST8950,SWIFT,Saudi Arabia,Pakistan,Jeddah,Karachi,SAR,PKR,74.0,359.46,26600.04,10.57,4.63,15.2,Yes,Salam,2024-12-18,06:14:42.333496,75.09,0,0,1,Online Portal,Mobile
TXN000037,CUST9771,SWIFT,USA,USA,New York,Chicago,USD,USD,1.0,3472.55,3472.55,96.47,19.7,116.17,Yes,Murabaha,2025-10-05,13:10:38.520506,30.86,0,0,17,Mobile App,ATM
TXN000038,CUST5023,SWIFT,Saudi Arabia,Pakistan,Riyadh,Islamabad,SAR,PKR,74.0,3903.42,288853.08,103.17,28.05,131.22,Yes,None,2025-08-13,09:51:23.240933,51.81,0,0,19,Mobile App,Mobile
TXN000039,CUST3397,Remittance,Saudi Arabia,Pakistan,Jeddah,Lahore,SAR,PKR,74.0,3902.42,288779.38,58.3,67.78,126.08,Yes,Ijara,2024-04-11,03:59:29.822165,119.38,0,0,19,Online Portal,Desktop
TXN000040,CUST4209,Remittance,UAE,Pakistan,Abu Dhabi,Islamabad,AED,PKR,75.0,3716.5,278737.5,110.61,54.76,165.37,Yes,Salam,2025-06-07,15:59:40.688006,21.01,0,0,18,Online Portal,Desktop
TXN000041,CUST1425,Trade Finance,Qatar,Saudi Arabia,Doha,Riyadh,QAR,SAR,241.32,742.31,179134.25,20.07,8.23,28.3,Yes,Ijara,2024-09-08,05:36:55.007026,40.85,0,0,3,Mobile App,Mobile
TXN000042,CUST6846,Online Transfer,Saudi Arabia,Pakistan,Riyadh,Karachi,SAR,PKR,74.0,744.14,55066.36,9.53,10.67,20.2,Yes,None,2025-05-01,09:04:27.076220,55.54,0,0,3,Online Portal,ATM
TXN000043,CUST8922,Trade Finance,UAE,Pakistan,Abu Dhabi,Karachi,AED,PKR,75.0,1054.26,79069.5,28.25,20.84,49.09,Yes,Murabaha,2025-12-05,05:35:22.615824,31.54,0,0,5,Online Portal,Desktop
TXN000044,CUST2018,SWIFT,Saudi Arabia,Pakistan,Jeddah,Karachi,SAR,PKR,74.0,1938.22,143428.28,52.55,37.18,89.72999999999999,Yes,Ijara,2024-08-07,06:14:33.818904,71.45,0,0,9,Branch,Desktop
TXN000045,CUST6238,Trade Finance,USA,Saudi Arabia,New York,Jeddah,USD,SAR,70.9,1047.4,74260.66,28.65,16.41,45.06,Yes,None,2024-11-26,03:30:06.064090,58.25,0,0,5,Branch,Desktop
TXN000046,CUST9200,SWIFT,UAE,Pakistan,Abu Dhabi,Islamabad,AED,PKR,75.0,2157.69,161826.75,40.28,26.67,66.95,Yes,Ijara,2024-10-07,14:36:29.453721,78.87,0,0,10,Mobile App,ATM
TXN000047,CUST5705,Online Transfer,Saudi Arabia,Pakistan,Jeddah,Karachi,SAR,PKR,74.0,2259.16,167177.84,46.01,38.64,84.65,Yes,Salam,2025-10-11,14:33:15.475906,79.06,0,0,11,Branch,Mobile
TXN000048,CUST7944,Online Transfer,Qatar,UAE,Doha,Dubai,QAR,AED,211.98,1358.01,287870.96,25.4,10.29,35.69,Yes,Murabaha,2024-12-29,04:21:05.959290,84.1,0,0,6,Online Portal,ATM
TXN000049,CUST5358,Trade Finance,UAE,Pakistan,Abu Dhabi,Karachi,AED,PKR,75.0,2279.1,170932.5,62.83,35.27,98.1,Yes,Salam,2024-06-02,06:47:31.665783,103.45,0,0,11,ATM,Desktop
TXN000050,CUST4367,Online Transfer,Saudi Arabia,Pakistan,Riyadh,Karachi,SAR,PKR,74.0,2013.46,148996.04,40.37,24.48,64.85,Yes,Salam,2024-05-18,15:12:53.246071,46.23,0,0,10,ATM,ATM
TXN000051,CUST4125,Remittance,UAE,Pakistan,Abu Dhabi,Lahore,AED,PKR,75.0,1945.01,145875.75,41.45,16.89,58.34,Yes,Ijara,2025-01-18,05:52:16.812507,94.75,0,0,9,Branch,Desktop
TXN000052,CUST1442,Trade Finance,UAE,Pakistan,Abu Dhabi,Lahore,AED,PKR,75.0,1504.76,112857.0,19.95,14.79,34.739999999999995,Yes,Salam,2024-11-18,21:47:58.441052,94.12,0,0,7,Mobile App,Desktop
TXN000053,CUST4460,SWIFT,Saudi Arabia,Pakistan,Jeddah,Islamabad,SAR,PKR,74.0,3921.19,290168.21,55.95,56.05,112.0,Yes,None,2026-03-16,22:43:02.319679,84.52,0,0,19,Online Portal,Mobile
TXN000054,CUST7108,Online Transfer,UK,USA,Manchester,Chicago,GBP,USD,149.09,777.54,115923.44,16.83,13.98,30.81,Yes,Salam,2025-05-24,03:14:35.736571,54.34,0,0,3,Branch,Desktop
TXN000055,CUST9759,Online Transfer,UK,Saudi Arabia,London,Jeddah,GBP,SAR,116.33,643.33,74838.58,9.59,12.04,21.63,Yes,None,2025-06-11,18:46:53.094917,86.6,0,0,3,Branch,Desktop
TXN000056,CUST7900,Online Transfer,UAE,USA,Dubai,Chicago,AED,USD,77.51,1402.26,108689.17,30.75,13.49,44.24,Yes,None,2025-04-09,17:02:27.901445,96.28,0,0,7,ATM,Desktop
TXN000057,CUST4488,Online Transfer,Qatar,Saudi Arabia,Doha,Jeddah,QAR,SAR,243.38,2059.39,501214.34,50.8,16.53,67.33,Yes,None,2024-06-06,13:08:54.080990,33.4,0,0,10,Mobile App,ATM
TXN000058,CUST4705,Trade Finance,UAE,Pakistan,Abu Dhabi,Karachi,AED,PKR,75.0,260.58,19543.5,6.02,4.36,10.379999999999999,Yes,Salam,2025-01-25,16:53:04.153514,99.54,0,0,1,Branch,Mobile
TXN000059,CUST7574,Online Transfer,Saudi Arabia,Pakistan,Jeddah,Karachi,SAR,PKR,74.0,4264.45,315569.3,89.92,27.01,116.93,Yes,None,2025-06-24,06:00:23.431212,73.54,0,0,21,Online Portal,Desktop
TXN000060,CUST3066,Online Transfer,UAE,Pakistan,Dubai,Islamabad,AED,PKR,75.0,3073.23,230492.25,53.53,55.56,109.09,Yes,Ijara,2025-08-21,08:49:40.836140,106.2,0,0,15,Mobile App,ATM
TXN000061,CUST3224,SWIFT,Pakistan,Pakistan,Lahore,Lahore,PKR,PKR,1.0,812.9,812.9,10.4,15.63,26.03,Yes,Salam,2025-04-13,13:56:02.109955,58.0,0,0,4,Mobile App,ATM
TXN000062,CUST4000,Online Transfer,UK,UK,Manchester,Manchester,GBP,GBP,1.0,1423.79,1423.79,38.17,10.51,48.68,Yes,None,2025-11-02,10:21:44.846503,68.97,0,0,7,Mobile App,Mobile
TXN000063,CUST6041,Online Transfer,Qatar,USA,Doha,Chicago,QAR,USD,86.07,363.03,31245.99,9.35,4.63,13.98,Yes,Salam,2025-12-17,20:28:30.374201,35.07,0,0,1,Mobile App,Desktop
TXN000064,CUST1619,Trade Finance,UAE,Pakistan,Abu Dhabi,Islamabad,AED,PKR,75.0,107.69,8076.75,1.41,2.06,3.4699999999999998,Yes,None,2024-05-28,09:39:17.402991,77.53,0,0,0,Mobile App,Mobile
TXN000065,CUST4268,SWIFT,UK,USA,Manchester,Chicago,GBP,USD,57.45,385.77,22162.49,10.32,5.65,15.97,Yes,Ijara,2025-07-31,13:36:22.397669,15.86,0,0,1,Mobile App,Mobile
TXN000066,CUST6256,Trade Finance,Saudi Arabia,Pakistan,Riyadh,Karachi,SAR,PKR,74.0,11012.51,814925.74,119.88,202.5,322.38,Yes,None,2025-01-31,06:00:37.028507,71.11,0,0,55,Online Portal,ATM
TXN000067,CUST6948,Trade Finance,USA,Saudi Arabia,New York,Riyadh,USD,SAR,104.38,462.5,48275.75,11.43,7.61,19.04,Yes,Murabaha,2024-06-27,14:55:22.109114,14.92,0,0,2,ATM,Mobile
TXN000068,CUST6042,SWIFT,Qatar,UAE,Doha,Abu Dhabi,QAR,AED,243.04,3019.76,733923.44,31.91,48.15,80.06,Yes,Murabaha,2026-03-20,20:47:09.010163,5.48,0,0,15,Branch,Mobile
TXN000069,CUST5879,Remittance,Saudi Arabia,Pakistan,Riyadh,Lahore,SAR,PKR,74.0,894.13,66165.77,17.47,9.49,26.96,Yes,Ijara,2025-03-28,14:14:42.880011,82.06,0,0,4,Online Portal,Desktop
TXN000070,CUST5013,Online Transfer,Saudi Arabia,Pakistan,Riyadh,Lahore,SAR,PKR,74.0,461.05,34117.7,9.97,2.51,12.48,Yes,None,2024-11-03,05:20:55.842932,17.68,0,0,2,ATM,ATM
TXN000071,CUST4830,SWIFT,UAE,Pakistan,Abu Dhabi,Islamabad,AED,PKR,75.0,6746.17,505962.75,187.67,65.67,253.33999999999997,Yes,Murabaha,2025-01-15,22:43:56.900487,106.01,0,0,33,Online Portal,ATM
TXN000072,CUST5582,SWIFT,UAE,Pakistan,Dubai,Lahore,AED,PKR,75.0,2865.67,214925.25,84.2,43.55,127.75,Yes,Murabaha,2025-11-04,16:27:46.624965,7.38,0,0,14,Online Portal,Desktop
TXN000073,CUST7052,Online Transfer,Saudi Arabia,Pakistan,Riyadh,Karachi,SAR,PKR,74.0,914.16,67647.84,14.54,6.88,21.419999999999998,Yes,Ijara,2024-04-18,07:54:37.613007,72.83,0,0,4,ATM,Mobile
TXN000074,CUST7345,Trade Finance,UAE,Pakistan,Abu Dhabi,Karachi,AED,PKR,75.0,132.45,9933.75,3.53,2.49,6.02,Yes,Murabaha,2026-02-15,13:01:02.394811,68.49,0,0,0,Online Portal,ATM
TXN000075,CUST5755,Trade Finance,UAE,USA,Abu Dhabi,Chicago,AED,USD,190.85,800.75,152823.14,15.38,14.24,29.62,Yes,Murabaha,2024-09-11,20:33:16.175637,42.94,0,0,4,Online Portal,Desktop
TXN000076,CUST2734,Remittance,Pakistan,Pakistan,Karachi,Islamabad,PKR,PKR,1.0,1800.39,1800.39,28.86,20.39,49.25,Yes,Murabaha,2025-05-14,11:47:55.102039,98.6,0,0,9,Mobile App,Desktop
TXN000077,CUST9803,Online Transfer,Saudi Arabia,Pakistan,Riyadh,Islamabad,SAR,PKR,74.0,187.58,13880.92,3.44,1.02,4.46,Yes,None,2026-02-06,04:12:04.692401,25.86,0,0,0,Branch,Desktop
TXN000078,CUST1714,SWIFT,Saudi Arabia,Pakistan,Riyadh,Karachi,SAR,PKR,74.0,4914.78,363693.72,53.83,27.08,80.91,Yes,Ijara,2025-01-11,09:17:42.603334,74.05,0,0,24,ATM,Mobile
TXN000079,CUST6330,Trade Finance,Pakistan,Kuwait,Lahore,Kuwait City,PKR,KWD,237.49,367.7,87325.07,5.6,6.42,12.02,Yes,Murabaha,2025-01-01,09:26:45.163395,49.79,0,0,1,Branch,Mobile
TXN000080,CUST6060,Online Transfer,UAE,Pakistan,Dubai,Karachi,AED,PKR,75.0,2081.65,156123.75,55.32,38.32,93.64,Yes,Ijara,2024-07-31,06:26:32.975847,46.39,0,0,10,ATM,Mobile
TXN000081,CUST7979,Trade Finance,UAE,Pakistan,Abu Dhabi,Karachi,AED,PKR,75.0,4323.78,324283.5,70.1,46.92,117.02,Yes,Salam,2025-09-16,03:03:28.814683,12.82,0,0,21,Online Portal,Mobile
TXN000082,CUST9534,SWIFT,UAE,UK,Abu Dhabi,Manchester,AED,GBP,255.73,3524.33,901276.91,47.09,61.16,108.25,Yes,Murabaha,2024-11-10,02:36:15.602566,93.4,0,0,17,Online Portal,ATM
TXN000083,CUST2560,Online Transfer,Qatar,Kuwait,Doha,Kuwait City,QAR,KWD,60.97,611.17,37263.03,17.92,7.54,25.46,Yes,Ijara,2025-11-01,04:14:16.760507,51.72,0,0,3,Mobile App,Mobile
TXN000084,CUST5274,Remittance,UAE,Pakistan,Abu Dhabi,Lahore,AED,PKR,75.0,830.25,62268.75,21.74,6.62,28.36,Yes,Salam,2026-02-13,15:49:43.829494,66.16,0,0,4,ATM,ATM
TXN000085,CUST5553,Online Transfer,Saudi Arabia,Pakistan,Jeddah,Karachi,SAR,PKR,74.0,5638.33,417236.57,102.38,110.04,212.42000000000002,Yes,Ijara,2024-04-05,23:04:45.010722,97.51,0,0,28,Online Portal,Mobile
TXN000086,CUST4224,Trade Finance,UAE,Pakistan,Abu Dhabi,Karachi,AED,PKR,75.0,704.22,52816.5,17.3,3.69,20.990000000000002,Yes,None,2025-10-09,12:12:12.393984,94.22,0,0,3,Mobile App,ATM
TXN000087,CUST7263,SWIFT,Saudi Arabia,Pakistan,Jeddah,Islamabad,SAR,PKR,74.0,2077.3,153719.9,21.56,33.1,54.66,Yes,Murabaha,2024-03-30,10:37:55.251064,71.21,0,0,10,Mobile App,Mobile
TXN000088,CUST5650,Remittance,UAE,Pakistan,Abu Dhabi,Karachi,AED,PKR,75.0,2421.39,181604.25,48.32,22.82,71.14,Yes,Murabaha,2025-05-15,16:28:29.316050,44.32,0,0,12,Branch,ATM
TXN000089,CUST4525,Online Transfer,Saudi Arabia,Pakistan,Riyadh,Lahore,SAR,PKR,74.0,1446.96,107075.04,34.57,17.53,52.1,Yes,Murabaha,2024-09-08,20:25:59.559043,62.91,0,0,7,Mobile App,ATM
TXN000090,CUST4289,Online Transfer,UAE,UK,Dubai,London,AED,GBP,137.81,232.01,31973.3,5.25,4.61,9.86,Yes,Salam,2025-07-14,04:19:33.512051,16.47,0,0,1,Online Portal,ATM
TXN000091,CUST4151,Online Transfer,Kuwait,Kuwait,Kuwait City,Kuwait City,KWD,KWD,1.0,942.33,942.33,17.94,7.23,25.17,Yes,Salam,2025-12-20,22:07:24.360809,46.58,0,0,4,Online Portal,Desktop
TXN000092,CUST2622,SWIFT,UAE,Pakistan,Dubai,Karachi,AED,PKR,75.0,4147.44,311058.0,55.49,70.11,125.6,Yes,Salam,2026-01-18,06:25:06.845604,108.6,0,0,20,Mobile App,ATM
TXN000093,CUST9965,Online Transfer,UAE,Pakistan,Abu Dhabi,Islamabad,AED,PKR,75.0,937.24,70293.0,26.98,7.51,34.49,Yes,Murabaha,2026-01-17,12:13:03.914219,113.42,0,0,4,ATM,Desktop
TXN000094,CUST2907,Trade Finance,UAE,Pakistan,Abu Dhabi,Islamabad,AED,PKR,75.0,4601.1,345082.5,88.24,74.88,163.12,Yes,Salam,2024-08-31,04:59:48.692245,65.01,0,0,23,Online Portal,Desktop
TXN000095,CUST1390,Remittance,Saudi Arabia,Pakistan,Jeddah,Lahore,SAR,PKR,74.0,349.62,25871.88,7.49,1.94,9.43,Yes,None,2025-05-27,18:25:57.061143,51.28,0,0,1,Mobile App,Mobile
TXN000096,CUST7347,Trade Finance,Saudi Arabia,Pakistan,Riyadh,Karachi,SAR,PKR,74.0,2132.67,157817.58,50.17,20.88,71.05,Yes,Salam,2025-05-05,05:46:12.476037,100.23,0,0,10,Mobile App,Mobile
TXN000097,CUST5659,Online Transfer,Saudi Arabia,Pakistan,Riyadh,Lahore,SAR,PKR,74.0,10497.41,776808.34,283.67,80.42,364.09000000000003,Yes,Ijara,2025-10-18,16:05:54.466759,36.73,0,0,52,Branch,Desktop
TXN000098,CUST7498,Remittance,Saudi Arabia,UK,Jeddah,London,SAR,GBP,132.6,312.47,41433.52,7.13,3.66,10.79,Yes,None,2024-12-07,21:40:11.531367,6.35,0,0,1,ATM,ATM
TXN000099,CUST6516,Online Transfer,Saudi Arabia,Pakistan,Jeddah,Karachi,SAR,PKR,74.0,4882.85,361330.9,129.5,46.26,175.76,Yes,Ijara,2024-12-22,18:16:12.841177,88.55,0,0,24,Online Portal,Desktop
TXN000100,CUST3768,Online Transfer,Pakistan,Qatar,Karachi,Doha,PKR,QAR,104.08,2273.92,236669.59,49.77,22.22,71.99000000000001,Yes,Ijara,2024-09-21,22:36:51.399018,20.66,0,0,11,Mobile App,Desktop
TXN000101,CUST4612,Online Transfer,Kuwait,Kuwait,Kuwait City,Kuwait City,KWD,KWD,1.0,2212.5,2212.5,41.43,39.78,81.21000000000001,Yes,Murabaha,2024-10-01,05:21:07.675218,83.3,0,0,11,Online Portal,Desktop
TXN000102,CUST2760,Online Transfer,UAE,Kuwait,Abu Dhabi,Kuwait City,AED,KWD,50.88,3632.32,184812.44,99.64,66.38,166.01999999999998,Yes,None,2024-10-27,14:55:51.177214,75.09,0,0,18,Branch,ATM
TXN000103,CUST9165,Remittance,Qatar,UK,Doha,Manchester,QAR,GBP,71.14,5502.89,391475.45,159.97,31.0,190.97,Yes,Salam,2026-03-10,19:04:47.858402,112.87,0,0,27,Branch,ATM
TXN000104,CUST7393,Remittance,Saudi Arabia,Pakistan,Riyadh,Islamabad,SAR,PKR,74.0,2818.56,208573.44,65.07,27.98,93.05,Yes,Salam,2025-10-31,10:58:42.403151,80.79,0,0,14,ATM,Mobile
TXN000105,CUST5173,Trade Finance,Qatar,Pakistan,Doha,Islamabad,QAR,PKR,76.0,9504.15,722315.4,109.6,63.72,173.32,Yes,Salam,2026-02-20,06:42:54.218303,32.76,1,0,77,Branch,ATM
TXN000106,CUST2740,Remittance,Saudi Arabia,Pakistan,Jeddah,Lahore,SAR,PKR,74.0,1469.83,108767.42,23.28,9.4,32.68,Yes,Murabaha,2025-10-11,22:41:15.030059,83.23,0,0,7,ATM,ATM
TXN000107,CUST8106,Online Transfer,Kuwait,USA,Kuwait City,New York,KWD,USD,244.66,719.94,176140.52,13.74,6.79,20.53,Yes,Ijara,2025-07-24,01:01:14.407652,38.95,0,0,3,Mobile App,Desktop
TXN000108,CUST1716,Remittance,Kuwait,Saudi Arabia,Kuwait City,Riyadh,KWD,SAR,182.62,3839.01,701080.01,112.74,29.66,142.4,Yes,Murabaha,2026-02-13,22:06:48.970279,87.53,0,0,19,ATM,Desktop
TXN000109,CUST8651,SWIFT,UK,Saudi Arabia,Manchester,Jeddah,GBP,SAR,136.13,248.56,33836.47,4.08,2.37,6.45,Yes,None,2024-08-30,13:22:55.134755,78.76,0,0,1,Branch,ATM
TXN000110,CUST8914,Remittance,Kuwait,UK,Kuwait City,London,KWD,GBP,271.64,272.69,74073.51,5.75,4.3,10.05,Yes,Salam,2025-07-23,05:32:58.906812,97.34,0,0,1,Online Portal,Desktop
TXN000111,CUST8086,Remittance,UAE,UAE,Abu Dhabi,Abu Dhabi,AED,AED,1.0,330.1,330.1,4.9,5.17,10.07,Yes,Salam,2024-06-04,01:49:35.489105,69.39,0,0,1,Branch,ATM
TXN000112,CUST4789,SWIFT,Pakistan,UK,Lahore,Manchester,PKR,GBP,168.34,3780.09,636340.35,54.31,50.97,105.28,Yes,Ijara,2025-12-23,02:06:40.557169,104.9,0,0,18,Online Portal,Desktop
TXN000113,CUST4525,Online Transfer,UAE,Saudi Arabia,Abu Dhabi,Jeddah,AED,SAR,245.55,3413.67,838226.67,46.19,47.78,93.97,Yes,Ijara,2024-11-05,10:21:16.119869,23.22,0,0,17,ATM,Mobile
